station_id,latitude,longitude,elevation,state,name,network,wmo_id
USW00025704,51.8833,-176.65,5.2,AK,ADAK,,70454
USC00500235,70.3464,-150.9283,5.2,AK,ALPINE,,
USC00500243,60.9583,-149.1108,82.9,AK,ALYESKA,,
USC00500247,62.1925,-150.495,124.4,AK,AMBER LAKE,,
USC00500247,62.1925,-150.5033,136.9,AK,AMBER LAKE,,
US1AKAB0052,61.1529,-149.9346,35.4,AK,ANCHORAGE 4.7 SSW,,
USC00500275,61.1561,-149.9847,39.9,AK,ANCHORAGE FORECAST OFFICE,,
USC00500275,61.1561,-149.9847,39.9,AK,ANCHORAGE FRCST OFC,,
USC00500279,61.1167,-149.7333,304.8,AK,ANCHORAGE HILLSIDE,,
USW00026451,61.1689,-150.0278,36.6,AK,ANCHORAGE INTL AP,,70273
USW00026491,61.1781,-149.9664,27.4,AK,ANCHORAGE LAKE HOOD AP,,
USW00026409,61.2169,-149.855,42.1,AK,ANCHORAGE MERRILL FLD,,
USC00500284,61.0883,-149.7561,278.3,AK,ANCHORAGE RABBIT CK #2,,
USC00500284,61.0883,-149.7561,278.3,AK,ANCHORAGE RABBIT CREEK #2,,
USC00500281,61.1025,-149.7169,406.9,AK,ANCHORAGE UPPER DE ARMOUN,,
USC00500281,61.1025,-149.7169,406.9,AK,ANCHORAGE UPPER DEARMOUN,,
USC00500302,61.6244,-149.3397,139.6,AK,ANDERSON LAKE,,
USW00026516,61.5833,-159.5333,26.2,AK,ANIAK AP,,70232
USW00025308,55.0389,-131.5786,33.2,AK,ANNETTE ISLAND AP,GSN,70398
USC00500363,58.3183,-134.1003,28.0,AK,ANNEX CREEK,,
USC00500464,58.3814,-134.645,13.4,AK,AUKE BAY,,
USC00500490,64.8553,-147.7217,135.0,AK,AURORA,,
USS0050M01S,61.75,-150.89,48.8,AK,Alexander Lake,,
USS0041P07S,64.79,-141.23,320.0,AK,American Creek,,
USS0051K05S,59.86,-151.32,503.8,AK,Anchor River Divide,,
USS0049M22S,61.11,-149.67,634.0,AK,Anchorage Hillside,,
USS0049T03S,68.13,-149.48,1463.0,AK,Atigun Pass,,
USW00027502,71.2833,-156.7814,9.4,AK,BARROW POST ROGERS AP,GSN,70026
USC00500657,55.38,-131.4683,10.7,AK,BEAVER FALLS,,
USC00500657,55.3575,-131.6969,10.7,AK,BEAVER FALLS,,
USC00500707,61.5633,-149.1542,38.7,AK,BEN'S FARM,,
USC00500707,61.5633,-149.1542,38.7,AK,BENS FARM,,
USW00026615,60.785,-161.8292,31.1,AK,BETHEL AP,GSN,70219
USW00026533,66.9161,-151.5089,195.7,AK,BETTLES AP,,70174
USW00026415,63.9944,-145.7214,389.2,AK,BIG DELTA AP,,70267
USC00500788,60.8142,-152.297,18.3,AK,BIG RIVER LAKES,,
USC00500832,56.1172,-132.9017,4.0,AK,BLASHKE ISLAND,,
USC00501180,61.5378,-149.0561,26.8,AK,BUTTE 1W,,
USC00501175,61.5836,-149.0056,75.0,AK,BUTTE 3NNE,,
USS0051R01S,66.92,-151.53,195.1,AK,Bettles Field,,
USC00501220,61.1639,-149.7778,78.6,AK,CAMPBELL CREEK SCI CTR,,
USC00501240,61.0183,-147.5147,25.9,AK,CANNERY CREEK,,
USC00501243,63.3953,-148.895,649.8,AK,CANTWELL 2 E,,
USC00501244,63.3725,-148.8442,689.5,AK,CANTWELL 4E,,
USW00026631,68.8667,-166.1333,15.8,AK,CAPE LISBURNE AFS,,70104
USW00025623,58.65,-162.0667,71.9,AK,CAPE NEWENHAM AFS,,70305
USC00501466,65.5667,-144.7653,280.4,AK,CENTRAL #2,,
USC00501492,67.5111,-148.4925,577.6,AK,CHANDALAR LAKE,,
USC00501497,68.0781,-149.5647,990.6,AK,CHANDALAR SHELF DOT,,
USC00501684,64.0917,-141.9211,548.6,AK,CHICKEN,,
USC00501926,62.8256,-149.9061,412.7,AK,CHULITNA RIVER,,
USC00501926,62.8256,-149.9061,412.7,AK,CHULITNA RVR,,
USC00501987,65.4861,-144.6364,262.1,AK,CIRCLE HOT SPRINGS,,
USC00501987,65.4939,-144.6422,262.1,AK,CIRCLE HOT SPRINGS,,
USC00502015,64.2453,-149.1828,196.9,AK,CLEAR SKY,,
USC00502019,64.05,-145.5167,335.3,AK,CLEARWATER,,
USW00025624,55.2208,-162.7325,23.8,AK,COLD BAY AP,GSN,70316
USC00502112,64.925,-147.8803,298.1,AK,COLLEGE 5 NW,,
USC00502107,64.8603,-147.8483,182.0,AK,COLLEGE OBSY,,
USC00502126,70.4322,-150.4094,1.5,AK,COLVILLE VILLAGE,,
USC00502144,60.3925,-149.6661,153.9,AK,COOPER LAKE PROJECT,,
USC00502149,60.4875,-149.968,114.3,AK,COOPER LANDING 5 W,,
USW00026410,60.4889,-145.4511,9.4,AK,CORDOVA M K SMITH AP,,70296
