DLY-TAVG-NORMAL,AVERAGE TEMPERATURE
DLY-TAVG-STDDEV,STANDARD DEVIATIONS OF AVERAGE TEMPERATURE
DLY-TMAX-NORMAL,MAXIMUM TEMPERATURE
DLY-TMAX-STDDEV,STANDARD DEVIATIONS OF MAXIMUM TEMPERATURE
DLY-TMIN-NORMAL,MINIMUM TEMPERATURE
DLY-TMIN-STDDEV,STANDARD DEVIATIONS OF MINIMUM TEMPERATURE
DLY-DUTR-NORMAL,DIURNAL TEMPERATURE RANGE
DLY-DUTR-STDDEV,STANDARD DEVIATIONS OF DIURNAL TEMPERATURE RANGE
MTD-PRCP-NORMAL,MONTH TO DATE LIQUID PRECIPITATION AMOUNT
YTD-PRCP-NORMAL,YEAR TO DATE LIQUID PRECIPITATION AMOUNT
MTD-SNOW-NORMAL,MONTH TO DATE SNOWFALL AMOUNT
YTD-SNOW-NORMAL,YEAR TO DATE SNOWFALL AMOUNT
DLY-CLDD-BASE45,COOLING DEGREE DAYS BASE 45F
DLY-CLDD-BASE50,COOLING DEGREE DAYS BASE 50F
DLY-CLDD-BASE55,COOLING DEGREE DAYS BASE 55F
DLY-CLDD-BASE57,COOLING DEGREE DAYS BASE 57F
DLY-CLDD-BASE60,COOLING DEGREE DAYS BASE 60F
DLY-CLDD-BASE70,COOLING DEGREE DAYS BASE 70F
DLY-CLDD-BASE72,COOLING DEGREE DAYS BASE 72F
DLY-CLDD-NORMAL,COOLING DEGREE DAYS BASE 65F
DLY-GRDD-BASE40,GROWING DEGREE DAYS BASE 40F
DLY-GRDD-BASE45,GROWING DEGREE DAYS BASE 45F
DLY-GRDD-BASE50,GROWING DEGREE DAYS BASE 50F
DLY-GRDD-BASE55,GROWING DEGREE DAYS BASE 55F
DLY-GRDD-BASE57,GROWING DEGREE DAYS BASE 57F
DLY-GRDD-BASE60,GROWING DEGREE DAYS BASE 60F
DLY-GRDD-BASE65,GROWING DEGREE DAYS BASE 65F
DLY-GRDD-BASE70,GROWING DEGREE DAYS BASE 70F
DLY-GRDD-BASE72,GROWING DEGREE DAYS BASE 72F
DLY-GRDD-TB4886,GROWING DEGREE DAYS BASE 48F LIMIT 86F
DLY-GRDD-TB5086,GROWING DEGREE DAYS BASE 50F LIMIT 86F
DLY-HTDD-BASE40,HEATING DEGREE DAYS BASE 40F
DLY-HTDD-BASE45,HEATING DEGREE DAYS BASE 45F
DLY-HTDD-BASE50,HEATING DEGREE DAYS BASE 50F
DLY-HTDD-BASE55,HEATING DEGREE DAYS BASE 55F
DLY-HTDD-BASE57,HEATING DEGREE DAYS BASE 57F
DLY-HTDD-BASE60,HEATING DEGREE DAYS BASE 60F
DLY-HTDD-NORMAL,HEATING DEGREE DAYS BASE 65F
DLY-PRCP-25PCTL,FIRST QUARTILE OF NONZERO PRECIPITATION TOTALS
DLY-PRCP-50PCTL,SECOND QUARTILE OF NONZERO PRECIPITATION TOTALS
DLY-PRCP-75PCTL,THIRD QUARTILE OF NONZERO PRECIPITATION TOTALS
DLY-PRCP-PCTALL-GE001HI,PROBABILITY OF PRECIPITATION GE 0.01 INCHES
DLY-PRCP-PCTALL-GE010HI,PROBABILITY OF PRECIPITATION GE 0.10 INCHES
DLY-PRCP-PCTALL-GE050HI,PROBABILITY OF PRECIPITATION GE 0.50 INCHES
DLY-PRCP-PCTALL-GE100HI,PROBABILITY OF PRECIPITATION GE 1.00 INCHES
DLY-SNOW-25PCTL,FIRST QUARTILE OF NONZERO SNOWFALL TOTALS
DLY-SNOW-50PCTL,SECOND QUARTILE OF NONZERO SNOWFALL TOTALS
DLY-SNOW-75PCTL,THIRD QUARTILE OF NONZERO SNOWFALL TOTALS
DLY-SNOW-PCTALL-GE001TI,PROBABILITY OF SNOWFALL GE 0.1 INCH
DLY-SNOW-PCTALL-GE010TI,PROBABILITY OF SNOWFALL GE 1.0 INCH
DLY-SNOW-PCTALL-GE030TI,PROBABILITY OF SNOWFALL GE 3.0 INCHES
DLY-SNOW-PCTALL-GE050TI,PROBABILITY OF SNOWFALL GE 5.0 INCHES
DLY-SNOW-PCTALL-GE100TI,PROBABILITY OF SNOWFALL GE 10 INCHES
DLY-SNWD-25PCTL,FIRST QUARTILE OF NONZERO SNOW DEPTH TOTALS
DLY-SNWD-50PCTL,SECOND QUARTILE OF NONZERO SNOW DEPTH TOTALS
DLY-SNWD-75PCTL,THIRD QUARTILE OF NONZERO SNOW DEPTH TOTALS
DLY-SNWD-PCTALL-GE001WI,PROBABILITY OF SNOW DEPTH GE 1 INCH
DLY-SNWD-PCTALL-GE003WI,PROBABILITY OF SNOW DEPTH GE 3 INCHES
DLY-SNWD-PCTALL-GE005WI,PROBABILITY OF SNOW DEPTH GE 5 INCHES
DLY-SNWD-PCTALL-GE010WI,PROBABILITY OF SNOW DEPTH GE 10 INCHES
