HLY-TEMP-NORMAL,TEMPERATURE AVERAGE,FAHRENHEIT
HLY-TEMP-10PCTL,TEMPERATURE 10TH PERCENTILE,FAHRENHEIT
HLY-TEMP-90PCTL,TEMPERATURE 90TH PERCENTILE,FAHRENHEIT
HLY-DEWP-10PCTL,DEW POINT 10TH PERCENTILE,FAHRENHEIT
HLY-DEWP-90PCTL,DEW POINT 90TH PERCENTILE,FAHRENHEIT
HLY-DEWP-NORMAL,DEW POINT MEAN,FAHRENHEIT
HLY-WCHL-NORMAL,WIND CHILL MEAN,FAHRENHEIT
HLY-HIDX-NORMAL,HEAT INDEX MEAN,FAHRENHEIT
HLY-HTDH-NORMAL,HEATING DEGREE HOURS BASE 65F,HOURS
HLY-CLDH-NORMAL,COOLING DEGREE HOURS 65F,HOURS
HLY-PRES-10PCTL,SEA LEVEL PRESSURE 10TH PERCENTILE,MILLIBARS
HLY-PRES-90PCTL,SEA LEVEL PRESSURE 90TH PERCENTILE,MILLIBARS
HLY-PRES-NORMAL,SEA LEVEL PRESSURE MEAN,MILLIBARS
HLY-WIND-1STDIR,PREVAILING WIND DIRECTION,DIRECTION
HLY-WIND-1STPCT,PREVAILING WIND PERCENTAGE,%
HLY-WIND-2NDDIR,SECONDARY WIND DIRECTION,DIRECTION
HLY-WIND-2NDPCT,SECONDARY WIND PERCENTAGE,%
HLY-WIND-AVGSPD,AVERAGE WIND SPEED,MPH
HLY-WIND-PCTCLM,PERCENTAGE CALM,%
HLY-WIND-VCTDIR,MEAN WIND VECTOR DIRECTION,DEGREES
HLY-WIND-VCTSPD,MEAN WIND VECTOR MAGNITUDE,MPH
HLY-CLOD-PCTCLR,CLOUDS CLEAR PERCENTAGE,%
HLY-CLOD-PCTFEW,CLOUDS FEW PERCENTAGE,%
HLY-CLOD-PCTSCT,CLOUDS SCATTERED PERCENTAGE,%
HLY-CLOD-PCTBKN,CLOUDS BROKEN PERCENTAGE,%
HLY-CLOD-PCTOVC,CLOUDS OVERCAST PERCENTAGE,%
