MLY-TAVG-NORMAL,AVERAGE TEMPERATURE,FAHRENHEIT
MLY-TAVG-STDDEV,STANDARD DEVIATIONS OF AVERAGE TEMPERATURE,FAHRENHEIT
MLY-TMAX-NORMAL,MAXIMUM TEMPERATURE,FAHRENHEIT
MLY-TMAX-STDDEV,STANDARD DEVIATIONS OF MAXIMUM TEMPERATURE,FAHRENHEIT
MLY-TMIN-NORMAL,MINIMUM TEMPERATURE,FAHRENHEIT
MLY-TMIN-STDDEV,STANDARD DEVIATIONS OF MINIMUM TEMPERATURE,FAHRENHEIT
MLY-DUTR-NORMAL,DAILY TEMPERATURE RANGE,FAHRENHEIT
MLY-DUTR-STDDEV,STANDARD DEVIATIONS OF DAILY TEMPERATURE RANGE,FAHRENHEIT
MLY-CLDD-BASE45,COOLING DEGREE DAYS WITH BASE 45F,DAYS
MLY-CLDD-BASE50,COOLING DEGREE DAYS WITH BASE 50F,DAYS
MLY-CLDD-BASE55,COOLING DEGREE DAYS WITH BASE 55F,DAYS
MLY-CLDD-BASE57,COOLING DEGREE DAYS WITH BASE 57F,DAYS
MLY-CLDD-BASE60,COOLING DEGREE DAYS WITH BASE 60F,DAYS
MLY-CLDD-BASE70,COOLING DEGREE DAYS WITH BASE 70F,DAYS
MLY-CLDD-BASE72,COOLING DEGREE DAYS WITH BASE 72F,DAYS
MLY-CLDD-NORMAL,COOLING DEGREE DAYS WITH BASE 65F,DAYS
MLY-HTDD-BASE40,HEATING DEGREE DAYS WITH BASE 40F,DAYS
MLY-HTDD-BASE45,HEATING DEGREE DAYS WITH BASE 45F,DAYS
MLY-HTDD-BASE50,HEATING DEGREE DAYS WITH BASE 50F,DAYS
MLY-HTDD-BASE55,HEATING DEGREE DAYS WITH BASE 55F,DAYS
MLY-HTDD-BASE57,HEATING DEGREE DAYS WITH BASE 57F,DAYS
MLY-HTDD-BASE60,HEATING DEGREE DAYS WITH BASE 60F,DAYS
MLY-HTDD-NORMAL,HEATING DEGREE DAYS WITH BASE 65F,DAYS
MLY-PRCP-NORMAL,PRECIPITATION TOTALS,INCHES
MLY-PRCP-25PCTL,FIRST QUARTILE OF NONZERO PRECIPITATION TOTALS,INCHES
MLY-PRCP-50PCTL,SECOND QUARTILE OF NONZERO PRECIPITATION TOTALS,INCHES
MLY-PRCP-75PCTL,THIRD QUARTILE OF NONZERO PRECIPITATION TOTALS,INCHES
MLY-PRCP-AVGNDS-GE001HI,NUMBER OF DAYS WITH PRECIPITATION GE 0.01 INCHES,DAYS
MLY-PRCP-AVGNDS-GE010HI,NUMBER OF DAYS WITH PRECIPITATION GE 0.10 INCHES,DAYS
MLY-PRCP-AVGNDS-GE050HI,NUMBER OF DAYS WITH PRECIPITATION GE 0.50 INCHES,DAYS
MLY-PRCP-AVGNDS-GE100HI,NUMBER OF DAYS WITH PRECIPITATION GE 1.00 INCHES,DAYS
MLY-SNOW-NORMAL,SNOWFALL TOTALS,INCHES
MLY-SNOW-25PCTL,FIRST QUARTILE OF NONZERO SNOWFALL TOTALS,INCHES
MLY-SNOW-50PCTL,SECOND QUARTILE OF NONZERO SNOWFALL TOTALS,INCHES
MLY-SNOW-75PCTL,THIRD QUARTILE OF NONZERO SNOWFALL TOTALS,INCHES
