MLY-TAVG-NORMAL,AVERAGE TEMPERATURE
MLY-TAVG-STDDEV,STANDARD DEVIATIONS OF AVERAGE TEMPERATURE
MLY-TMAX-NORMAL,MAXIMUM TEMPERATURE
MLY-TMAX-STDDEV,STANDARD DEVIATIONS OF MAXIMUM TEMPERATURE
MLY-TMIN-NORMAL,MINIMUM TEMPERATURE
MLY-TMIN-STDDEV,STANDARD DEVIATIONS OF MINIMUM TEMPERATURE
MLY-DUTR-NORMAL,DAILY TEMPERATURE RANGE
MLY-DUTR-STDDEV,STANDARD DEVIATIONS OF DAILY TEMPERATURE RANGE
MLY-CLDD-BASE40,COOLING DEGREE DAYS WITH BASE 40F
MLY-CLDD-BASE45,COOLING DEGREE DAYS WITH BASE 45F
MLY-CLDD-BASE50,COOLING DEGREE DAYS WITH BASE 50F
MLY-CLDD-BASE55,COOLING DEGREE DAYS WITH BASE 55F
MLY-CLDD-BASE57,COOLING DEGREE DAYS WITH BASE 57F
MLY-CLDD-BASE60,COOLING DEGREE DAYS WITH BASE 60F
MLY-CLDD-BASE70,COOLING DEGREE DAYS WITH BASE 70F
MLY-CLDD-BASE72,COOLING DEGREE DAYS WITH BASE 72F
MLY-CLDD-NORMAL,COOLING DEGREE DAYS WITH BASE 65F
MLY-GRDD-BASE40,GROWING DEGREE DAYS WITH BASE 40F
MLY-GRDD-BASE45,GROWING DEGREE DAYS WITH BASE 45F
MLY-GRDD-BASE50,GROWING DEGREE DAYS WITH BASE 50F
MLY-GRDD-BASE55,GROWING DEGREE DAYS WITH BASE 55F
MLY-GRDD-BASE57,GROWING DEGREE DAYS WITH BASE 57F
MLY-GRDD-BASE60,GROWING DEGREE DAYS WITH BASE 60F
MLY-GRDD-BASE65,GROWING DEGREE DAYS WITH BASE 65F
MLY-GRDD-BASE70,GROWING DEGREE DAYS WITH BASE 70F
MLY-GRDD-BASE72,GROWING DEGREE DAYS WITH BASE 72F
MLY-GRDD-TB4886,AVGS OF GROWING DEGREE DAYS WITH BASE 48F LIMIT 86F
MLY-GRDD-TB5086,AVGS OF GROWING DEGREE DAYS WITH BASE 50F LIMIT 86F
MLY-HTDD-BASE40,HEATING DEGREE DAYS WITH BASE 40F
MLY-HTDD-BASE45,HEATING DEGREE DAYS WITH BASE 45F
MLY-HTDD-BASE50,HEATING DEGREE DAYS WITH BASE 50F
MLY-HTDD-BASE55,HEATING DEGREE DAYS WITH BASE 55F
MLY-HTDD-BASE57,HEATING DEGREE DAYS WITH BASE 57F
MLY-HTDD-BASE60,HEATING DEGREE DAYS WITH BASE 60F
MLY-HTDD-NORMAL,HEATING DEGREE DAYS WITH BASE 65F
MLY-PRCP-NORMAL,PRECIPITATION TOTALS
MLY-PRCP-25PCTL,FIRST QUARTILE OF NONZERO PRECIPITATION TOTALS
MLY-PRCP-50PCTL,SECOND QUARTILE OF NONZERO PRECIPITATION TOTALS
MLY-PRCP-75PCTL,THIRD QUARTILE OF NONZERO PRECIPITATION TOTALS
MLY-PRCP-20PCTL,FIRST QUINTILE OF NONZERO PRECIPITATION TOTALS
MLY-PRCP-40PCTL,SECOND QUINTILE OF NONZERO PRECIPITATION TOTALS
MLY-PRCP-60PCTL,THIRD QUINTILE OF NONZERO PRECIPITATION TOTALS
MLY-PRCP-80PCTL,FOURTH QUINTILE OF NONZERO PRECIPITATION TOTALS
MLY-PRCP-33PCTL,FIRST TERCILE OF NONZERO PRECIPITATION TOTALS
MLY-PRCP-67PCTL,SECOND TERCILE OF NONZERO PRECIPITATION TOTALS
MLY-PRCP-AVGNDS-GE001HI,NUMBER OF DAYS WITH PRECIPITATION GE 0.01 INCHES
MLY-PRCP-AVGNDS-GE010HI,NUMBER OF DAYS WITH PRECIPITATION GE 0.10 INCHES
MLY-PRCP-AVGNDS-GE025HI,NUMBER OF DAYS WITH PRECIPITATION GE 0.25 INCHES
MLY-PRCP-AVGNDS-GE050HI,NUMBER OF DAYS WITH PRECIPITATION GE 0.50 INCHES
MLY-PRCP-AVGNDS-GE100HI,NUMBER OF DAYS WITH PRECIPITATION GE 1.00 INCHES
MLY-PRCP-AVGNDS-GE200HI,NUMBER OF DAYS WITH PRECIPITATION GE 2.00 INCHES
MLY-PRCP-AVGNDS-GE400HI,NUMBER OF DAYS WITH PRECIPITATION GE 4.00 INCHES
MLY-PRCP-AVGNDS-GE600HI,NUMBER OF DAYS WITH PRECIPITATION GE 6.00 INCHES
MLY-SNOW-NORMAL,SNOWFALL TOTALS
MLY-SNOW-25PCTL,FIRST QUARTILE OF NONZERO SNOWFALL TOTALS
MLY-SNOW-50PCTL,SECOND QUARTILE OF NONZERO SNOWFALL TOTALS
MLY-SNOW-75PCTL,THIRD QUARTILE OF NONZERO SNOWFALL TOTALS
MLY-SNOW-20PCTL,FIRST QUINTILE OF NONZERO SNOWFALL TOTALS
MLY-SNOW-40PCTL,SECOND QUINTILE OF NONZERO SNOWFALL TOTALS
MLY-SNOW-60PCTL,THIRD QUINTILE OF NONZERO SNOWFALL TOTALS
MLY-SNOW-80PCTL,FOURTH QUINTILE OF NONZERO SNOWFALL TOTALS
MLY-SNOW-33PCTL,FIRST TERCILE OF NONZERO SNOWFALL TOTALS
MLY-SNOW-67PCTL,SECOND TERCILE OF NONZERO SNOWFALL TOTALS
MLY-SNOW-AVGNDS-GE001TI,NUMBER OF DAYS WITH SNOWFALL GE 0.1 INCHES
MLY-SNOW-AVGNDS-GE010TI,NUMBER OF DAYS WITH SNOWFALL GE 1.0 INCHES
MLY-SNOW-AVGNDS-GE020TI,NUMBER OF DAYS WITH SNOWFALL GE 2.0 INCHES
MLY-SNOW-AVGNDS-GE030TI,NUMBER OF DAYS WITH SNOWFALL GE 3.0 INCHES
MLY-SNOW-AVGNDS-GE040TI,NUMBER OF DAYS WITH SNOWFALL GE 4.0 INCHES
MLY-SNOW-AVGNDS-GE050TI,NUMBER OF DAYS WITH SNOWFALL GE 5.0 INCHES
MLY-SNOW-AVGNDS-GE100TI,NUMBER OF DAYS WITH SNOWFALL GE 10.0 INCHES
MLY-SNOW-AVGNDS-GE200TI,NUMBER OF DAYS WITH SNOWFALL GE 20.0 INCHES
MLY-SNWD-AVGNDS-GE001WI,NUMBER OF DAYS WITH SNOW DEPTH GE 1 INCH
MLY-SNWD-AVGNDSGE002WI,NUMBER OF DAYS WITH SNOW DEPTH GE 2 INCHES
MLY-SNWD-AVGNDS-GE003WI,NUMBER OF DAYS WITH SNOW DEPTH GE 3 INCHES
MLY-SNWD-AVGNDS-GE004WI,NUMBER OF DAYS WITH SNOW DEPTH GE 4 INCHES
MLY-SNWD-AVGNDS-GE005WI,NUMBER OF DAYS WITH SNOW DEPTH GE 5 INCHES
MLY-SNWD-AVGNDS-GE010WI,NUMBER OF DAYS WITH SNOW DEPTH GE 10 INCHES
MLY-SNWD-AVGNDS-GE020WI,NUMBER OF DAYS WITH SNOW DEPTH GE 20 INCHES
MLY-TMAX-AVGNDS-GRTH032,NUMBER OF DAYS WITH MAXIMUM TEMPERATURE GE 32F
MLY-TMAX-AVGNDS-GRTH040,NUMBER OF DAYS WITH MAXIMUM TEMPERATURE GE 40F
MLY-TMAX-AVGNDS-GRTH050,NUMBER OF DAYS WITH MAXIMUM TEMPERATURE GE 50F
MLY-TMAX-AVGNDS-GRTH060,NUMBER OF DAYS WITH MAXIMUM TEMPERATURE GE 60F
MLY-TMAX-AVGNDS-GRTH070,NUMBER OF DAYS WITH MAXIMUM TEMPERATURE GE 70F
MLY-TMAX-AVGNDS-GRTH080,NUMBER OF DAYS WITH MAXIMUM TEMPERATURE GE 80F
MLY-TMAX-AVGNDS-GRTH090,NUMBER OF DAYS WITH MAXIMUM TEMPERATURE GE 90F
MLY-TMAX-AVGNDS-GRTH100,NUMBER OF DAYS WITH MAXIMUM TEMPERATURE GE 100F
